Category,Percentage
Open Source,0.005
Mobile,0.002
Java,0.223
Software Engineering,0.037
Internet,0.095
Web Development,0.039
Miscellaneous,0.005
Microsoft .NET,0.079
Microsoft,0.019
Next Generation Databases,0.002
PowerBuilder,0.016
Client-Server,0.026
Computer Graphics,0.014
Object-Oriented Programming,0.009
S,0.002
Networking,0.016
Theory,0.016
Programming,0.028
Python,0.014
Mobile Technology,0.014
Business,0.028
P,0.002
XML,0.009
Perl,0.014
java,0.002
Microsoft/.NET,0.002
Miscella,0.002
Object-Technology Programming,0.002
,0.005
internet,0.002
.NET,0.002
Algorithmic Art,0.002
PHP,0.002
SOA,0.002
Computer Graph,0.002
Client Server,0.002
In Action,0.002
Software Development,0.002
